year,month,tag,question_count
"2013","3","docker","4"
"2013","4","angular","1"
"2013","4","docker","8"
"2013","4","reactjs","1"
"2013","5","docker","4"
"2013","5","reactjs","1"
"2013","6","docker","14"
"2013","6","reactjs","2"
"2013","7","docker","18"
"2013","7","reactjs","2"
"2013","8","docker","23"
"2013","8","reactjs","1"
"2013","9","docker","38"
"2013","9","reactjs","9"
"2013","10","docker","43"
"2013","10","reactjs","5"
"2013","11","angular","1"
"2013","11","docker","40"
"2013","11","reactjs","7"
"2013","12","angular","1"
"2013","12","docker","40"
"2013","12","reactjs","22"
"2014","1","docker","76"
"2014","1","reactjs","47"
"2014","2","docker","76"
"2014","2","kubernetes","1"
"2014","2","reactjs","47"
"2014","3","docker","98"
"2014","3","reactjs","45"
"2014","3","vue.js","1"
"2014","4","docker","70"
"2014","4","reactjs","33"
"2014","5","angular","1"
"2014","5","docker","92"
"2014","5","reactjs","65"
"2014","5","vue.js","4"
"2014","6","docker","140"
"2014","6","reactjs","69"
"2014","7","angular","1"
"2014","7","docker","173"
"2014","7","reactjs","81"
"2014","7","vue.js","3"
"2014","8","angular","1"
"2014","8","docker","209"
"2014","8","kubernetes","2"
"2014","8","reactjs","76"
"2014","9","docker","194"
"2014","9","kubernetes","4"
"2014","9","reactjs","96"
"2014","9","vue.js","2"
"2014","10","angular","1"
"2014","10","docker","250"
"2014","10","kubernetes","4"
"2014","10","reactjs","135"
"2014","10","vue.js","2"
"2014","11","angular","2"
"2014","11","docker","253"
"2014","11","kubernetes","11"
"2014","11","reactjs","156"
"2014","11","vue.js","3"
"2014","12","angular","1"
"2014","12","docker","304"
"2014","12","kubernetes","16"
"2014","12","reactjs","170"
"2014","12","vue.js","3"
"2015","1","angular","1"
"2015","1","docker","326"
"2015","1","kubernetes","13"
"2015","1","reactjs","199"
"2015","1","vue.js","4"
"2015","2","angular","3"
"2015","2","docker","328"
"2015","2","kubernetes","13"
"2015","2","reactjs","330"
"2015","2","vue.js","1"
"2015","3","angular","21"
"2015","3","docker","367"
"2015","3","kubernetes","19"
"2015","3","reactjs","378"
"2015","3","vue.js","2"
"2015","4","angular","14"
"2015","4","docker","409"
"2015","4","kubernetes","16"
"2015","4","reactjs","457"
"2015","4","vue.js","5"
"2015","5","angular","41"
"2015","5","docker","422"
"2015","5","kubernetes","22"
"2015","5","reactjs","439"
"2015","5","vue.js","11"
"2015","6","angular","60"
"2015","6","docker","445"
"2015","6","kubernetes","48"
"2015","6","reactjs","524"
"2015","6","vue.js","36"
"2015","7","angular","64"
"2015","7","docker","569"
"2015","7","kubernetes","48"
"2015","7","reactjs","641"
"2015","7","vue.js","42"
"2015","8","angular","72"
"2015","8","docker","493"
"2015","8","kubernetes","87"
"2015","8","reactjs","605"
"2015","8","vue.js","42"
"2015","9","angular","77"
"2015","9","docker","527"
"2015","9","kubernetes","95"
"2015","9","reactjs","749"
"2015","9","vue.js","51"
"2015","10","angular","122"
"2015","10","docker","567"
"2015","10","kubernetes","113"
