network,beta,run,peak
ER,0.001,0,0.001
ER,0.001,1,0.0019
ER,0.001,2,0.001
ER,0.001,3,0.0011
ER,0.001,4,0.0011
ER,0.001,5,0.0012
ER,0.001,6,0.0013
ER,0.001,7,0.0012
ER,0.001,8,0.001
ER,0.001,9,0.001
ER,0.001,10,0.001
ER,0.001,11,0.001
ER,0.001,12,0.001
ER,0.001,13,0.0022
ER,0.001,14,0.001
ER,0.001,15,0.0013
ER,0.001,16,0.0011
ER,0.001,17,0.001
ER,0.001,18,0.001
ER,0.001,19,0.0012
ER,0.001,20,0.001
ER,0.001,21,0.001
ER,0.001,22,0.0012
ER,0.001,23,0.0019
ER,0.001,24,0.0011
ER,0.001,25,0.0011
ER,0.001,26,0.001
ER,0.001,27,0.001
ER,0.001,28,0.001
ER,0.001,29,0.0013
ER,0.001,30,0.001
ER,0.001,31,0.0013
ER,0.001,32,0.0014
ER,0.001,33,0.0011
ER,0.001,34,0.0011
ER,0.001,35,0.0012
ER,0.001,36,0.0013
ER,0.001,37,0.0016
ER,0.001,38,0.001
ER,0.001,39,0.0012
ER,0.001,40,0.001
ER,0.001,41,0.0029
ER,0.001,42,0.001
ER,0.001,43,0.001
ER,0.001,44,0.0016
ER,0.001,45,0.0014
ER,0.001,46,0.001
ER,0.001,47,0.0013
ER,0.001,48,0.0011
ER,0.001,49,0.001
ER,0.001,50,0.0012
ER,0.001,51,0.0013
ER,0.001,52,0.0014
ER,0.001,53,0.001
ER,0.001,54,0.001
ER,0.001,55,0.0011
ER,0.001,56,0.0011
ER,0.001,57,0.001
ER,0.001,58,0.001
ER,0.001,59,0.0016
ER,0.001,60,0.001
ER,0.001,61,0.001
ER,0.001,62,0.001
ER,0.001,63,0.0011
ER,0.001,64,0.002
ER,0.001,65,0.0011
ER,0.001,66,0.001
ER,0.001,67,0.0011
ER,0.001,68,0.0011
ER,0.001,69,0.0013
ER,0.001,70,0.0011
ER,0.001,71,0.0011
ER,0.001,72,0.001
ER,0.001,73,0.0011
ER,0.001,74,0.0011
ER,0.001,75,0.001
ER,0.001,76,0.001
ER,0.001,77,0.0011
ER,0.001,78,0.0011
ER,0.001,79,0.0012
ER,0.001,80,0.0013
ER,0.001,81,0.0011
ER,0.001,82,0.0011
ER,0.001,83,0.001
ER,0.001,84,0.001
ER,0.001,85,0.001
ER,0.001,86,0.0013
ER,0.001,87,0.0013
ER,0.001,88,0.0013
ER,0.001,89,0.001
ER,0.001,90,0.001
ER,0.001,91,0.0015
ER,0.001,92,0.001
ER,0.001,93,0.0015
ER,0.001,94,0.0013
ER,0.001,95,0.001
ER,0.001,96,0.0018
ER,0.001,97,0.0014
ER,0.001,98,0.0018
ER,0.001,99,0.0011
ER,0.001,100,0.0013
ER,0.001,101,0.0018
ER,0.001,102,0.0011
ER,0.001,103,0.0014
ER,0.001,104,0.001
ER,0.001,105,0.0017
ER,0.001,106,0.001
ER,0.001,107,0.001
ER,0.001,108,0.001
ER,0.001,109,0.0014
ER,0.001,110,0.001
ER,0.001,111,0.001
ER,0.001,112,0.0011
ER,0.001,113,0.0011
ER,0.001,114,0.001
ER,0.001,115,0.001
ER,0.001,116,0.001
ER,0.001,117,0.001
ER,0.001,118,0.001
ER,0.001,119,0.001
ER,0.001,120,0.001
ER,0.001,121,0.001
ER,0.001,122,0.0013
ER,0.001,123,0.0011
ER,0.001,124,0.0011
ER,0.001,125,0.001
ER,0.001,126,0.001
ER,0.001,127,0.0013
ER,0.001,128,0.0011
ER,0.001,129,0.001
ER,0.001,130,0.001
ER,0.001,131,0.0012
ER,0.001,132,0.0012
ER,0.001,133,0.0011
ER,0.001,134,0.001
ER,0.001,135,0.001
ER,0.001,136,0.0012
ER,0.001,137,0.0012
ER,0.001,138,0.0016
ER,0.001,139,0.0011
ER,0.001,140,0.0015
ER,0.001,141,0.0011
ER,0.001,142,0.0012
ER,0.001,143,0.0014
ER,0.001,144,0.0016
ER,0.001,145,0.0016
