network,beta,run,peak
ER,0.0025,0,0.0074
ER,0.0025,1,0.0062
ER,0.0025,2,0.007
ER,0.0025,3,0.0034
ER,0.0025,4,0.0027
ER,0.0025,5,0.0059
ER,0.0025,6,0.003
ER,0.0025,7,0.0036
ER,0.0025,8,0.0066
ER,0.0025,9,0.0037
ER,0.0025,10,0.0034
ER,0.0025,11,0.0056
ER,0.0025,12,0.0048
ER,0.0025,13,0.0047
ER,0.0025,14,0.0032
ER,0.0025,15,0.0052
ER,0.0025,16,0.0033
ER,0.0025,17,0.0073
ER,0.0025,18,0.0053
ER,0.0025,19,0.0099
ER,0.0025,20,0.0028
ER,0.0025,21,0.0063
ER,0.0025,22,0.0068
ER,0.0025,23,0.0046
ER,0.0025,24,0.0026
ER,0.0025,25,0.0057
ER,0.0025,26,0.0051
ER,0.0025,27,0.0038
ER,0.0025,28,0.0036
ER,0.0025,29,0.0084
ER,0.0025,30,0.0075
ER,0.0025,31,0.0034
ER,0.0025,32,0.0048
ER,0.0025,33,0.0032
ER,0.0025,34,0.0051
ER,0.0025,35,0.0081
ER,0.0025,36,0.0027
ER,0.0025,37,0.0072
ER,0.0025,38,0.0049
ER,0.0025,39,0.002
ER,0.0025,40,0.0058
ER,0.0025,41,0.0048
ER,0.0025,42,0.0031
ER,0.0025,43,0.0056
ER,0.0025,44,0.0062
ER,0.0025,45,0.0043
ER,0.0025,46,0.0039
ER,0.0025,47,0.0044
ER,0.0025,48,0.0015
ER,0.0025,49,0.0061
ER,0.0025,50,0.0058
ER,0.0025,51,0.0092
ER,0.0025,52,0.0044
ER,0.0025,53,0.0037
ER,0.0025,54,0.0024
ER,0.0025,55,0.0031
ER,0.0025,56,0.0039
ER,0.0025,57,0.0078
ER,0.0025,58,0.0072
ER,0.0025,59,0.0024
ER,0.0025,60,0.0051
ER,0.0025,61,0.003
ER,0.0025,62,0.0058
ER,0.0025,63,0.01
ER,0.0025,64,0.0052
ER,0.0025,65,0.0022
ER,0.0025,66,0.001
ER,0.0025,67,0.0042
ER,0.0025,68,0.0033
ER,0.0025,69,0.0028
ER,0.0025,70,0.0035
ER,0.0025,71,0.0038
ER,0.0025,72,0.0028
ER,0.0025,73,0.0078
ER,0.0025,74,0.0071
ER,0.0025,75,0.0038
ER,0.0025,76,0.0062
ER,0.0025,77,0.0038
ER,0.0025,78,0.0022
ER,0.0025,79,0.006
ER,0.0025,80,0.0013
ER,0.0025,81,0.0043
ER,0.0025,82,0.0016
ER,0.0025,83,0.0041
ER,0.0025,84,0.0058
ER,0.0025,85,0.0045
ER,0.0025,86,0.0033
ER,0.0025,87,0.0087
ER,0.0025,88,0.0017
ER,0.0025,89,0.0049
ER,0.0025,90,0.0029
ER,0.0025,91,0.0028
ER,0.0025,92,0.0081
ER,0.0025,93,0.0028
ER,0.0025,94,0.0048
ER,0.0025,95,0.0052
ER,0.0025,96,0.0045
ER,0.0025,97,0.0025
ER,0.0025,98,0.0134
ER,0.0025,99,0.0082
ER,0.0025,100,0.0041
ER,0.0025,101,0.0051
ER,0.0025,102,0.002
ER,0.0025,103,0.0042
ER,0.0025,104,0.0038
ER,0.0025,105,0.0022
ER,0.0025,106,0.0053
ER,0.0025,107,0.0022
